50 0
uta epttp 1
uz ymxwontg 40
qbzfil cr 33
viq qdmj 28
ivxai jjros 63
ypat sosxs 72
hewywe krxzr 10
czzildmr aelqjgt 23
nxkrqid weeacbv 22
anmonox baz 47
lequi ktvjufpv 13
hacjqx ifnjlf 59
ok dvicxui 50
xgv ordlwm 32
sfctc gzohjl 50
ndhgdm myqucymc 40
jugpm kzywtjle 42
wi adn 75
pwhryud aezvi 12
lm evotzju 38
fon ubc 51
ka ctcfu 70
czktafag qpicdk 11
ynxpdq gonolzu 19
tsvhfzqj mj 8
as hyyfz 63
wrwset zdbov 46
ayrkljc mzq 72
fyg dxvah 10
opzyvsqd wulidju 73
ojlxhtzr ucvdmqxq 25
vyis etd 24
ply cjtphbg 50
mqp qmg 37
dzw sspuff 10
wwtk ifopk 57
bk qqleh 2
sqtoou hyihuhxh 47
tbqdofm nvppwajx 33
mmdok busjqmu 71
hvg afazvr 49
vt qxvg 9
tvq dfjre 18
ypqqsy phleyvrh 69
fipyyq gizule 35
bwpxj fjfmm 13
nbijpiem os 43
nkxujnje an 62
kg tmxhg 9
jdyw var 30

